reserva_cancelada,tempo_antecedencia,data_chegada,ano_chegada,mes_chegada,diadomes_chegada,nro_noites_fds,nro_noites_dds,adultos,criancas,bebes,alimentacao,país,segmento_mercado,cliente_recorrente,tipo_quarto,tipo_pgto,agencia_turismo,receita_por_noite,pedidos_especiais,status_reserva,data_status_reserva
0,113,02/07/2015,2015,7,2,2,5,2,0,0,BB,NOR,AT Offline,0,D,Sem pgto,156,"67,58",2,Confirmada,09/07/2015
0,152,02/07/2015,2015,7,2,2,5,1,0,0,HB,IRL,AT Offline,0,A,Sem pgto,243,"60,35",2,Confirmada,09/07/2015
0,152,02/07/2015,2015,7,2,2,5,1,0,0,HB,GBR,AT Offline,0,A,Sem pgto,243,"60,35",2,Confirmada,09/07/2015
0,226,02/07/2015,2015,7,2,2,5,2,0,0,BB,IRL,AT Offline,0,E,Sem pgto,156,"87,75",0,Confirmada,09/07/2015
0,93,02/07/2015,2015,7,2,3,8,2,0,0,BB,IRL,AT Offline,0,A,Sem pgto,156,"56,01",0,Confirmada,13/07/2015
0,84,02/07/2015,2015,7,2,3,8,3,0,0,FB,PRT,AT Offline,0,E,Sem pgto,5,"199,5",1,Confirmada,13/07/2015
0,142,02/07/2015,2015,7,2,3,8,2,0,0,HB,DEU,AT Offline,0,D,Sem pgto,69,"89,68",0,Confirmada,13/07/2015
0,76,02/07/2015,2015,7,2,4,10,2,0,0,BB,OMN,AT Offline,0,D,Sem pgto,243,"110,7",0,Confirmada,16/07/2015
0,152,02/07/2015,2015,7,2,4,10,2,0,0,BB,GBR,AT Offline,0,A,Sem pgto,243,"88,4",0,Confirmada,16/07/2015
0,127,02/07/2015,2015,7,2,4,10,2,0,0,BB,GBR,AT Offline,0,D,Sem pgto,243,"104,55",1,Confirmada,16/07/2015
1,79,03/07/2015,2015,7,3,6,15,2,1,0,BB,PRT,AT Offline,0,A,Sem pgto,242,"108,73",2,Cancelada,15/04/2015
1,63,03/07/2015,2015,7,3,2,5,2,0,0,BB,PRT,AT Online,0,F,Sem pgto,242,117,1,Cancelada,13/05/2015
1,368,03/07/2015,2015,7,3,3,7,2,0,0,BB,PRT,AT Offline,0,A,Sem pgto,40,"55,68",0,Cancelada,19/05/2015
1,48,03/07/2015,2015,7,3,1,2,2,0,0,BB,PRT,AT Online,0,E,Sem pgto,240,123,0,Cancelada,26/05/2015
1,109,03/07/2015,2015,7,3,0,2,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,123,1,Cancelada,26/05/2015
1,51,03/07/2015,2015,7,3,0,2,3,0,0,BB,PRT,AT Online,0,A,Sem pgto,242,"110,3",0,Cancelada,09/06/2015
1,81,03/07/2015,2015,7,3,3,7,2,0,0,HB,PRT,Direta,0,A,Sem pgto,250,124,1,Cancelada,09/06/2015
1,101,03/07/2015,2015,7,3,0,2,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"73,8",1,Cancelada,12/06/2015
1,71,03/07/2015,2015,7,3,0,2,3,0,0,BB,PRT,AT Offline,0,A,Sem pgto,242,"110,3",2,Cancelada,16/06/2015
1,63,03/07/2015,2015,7,3,0,2,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,82,2,Cancelada,18/06/2015
1,72,03/07/2015,2015,7,3,0,2,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"73,8",1,Cancelada,29/06/2015
1,144,03/07/2015,2015,7,3,0,2,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,123,1,Cancelada,30/06/2015
1,62,03/07/2015,2015,7,3,0,2,2,0,0,BB,PRT,AT Online,0,D,Sem pgto,240,97,1,Cancelada,03/07/2015
0,12,03/07/2015,2015,7,3,0,1,2,0,0,BB,GBR,AT Online,0,A,Sem pgto,240,"73,8",0,Confirmada,04/07/2015
0,9,03/07/2015,2015,7,3,0,1,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,98,2,Confirmada,04/07/2015
0,1,03/07/2015,2015,7,3,0,1,2,0,0,BB,ESP,AT Online,0,A,Sem pgto,240,131,1,Confirmada,04/07/2015
0,21,03/07/2015,2015,7,3,0,1,2,0,0,BB,PRT,AT Online,0,E,Sem pgto,240,123,0,Confirmada,04/07/2015
0,9,03/07/2015,2015,7,3,0,1,2,0,0,BB,USA,AT Online,0,C,Sem pgto,241,"94,71",0,Confirmada,04/07/2015
0,109,03/07/2015,2015,7,3,0,1,2,0,0,BB,BEL,AT Online,0,A,Sem pgto,240,123,2,Confirmada,04/07/2015
0,10,03/07/2015,2015,7,3,0,2,2,2,0,BB,USA,AT Online,0,G,Sem pgto,240,153,0,Confirmada,05/07/2015
0,3,03/07/2015,2015,7,3,0,2,2,0,0,BB,ESP,AT Online,0,A,Sem pgto,240,"110,5",0,Confirmada,05/07/2015
0,51,03/07/2015,2015,7,3,0,2,2,0,0,BB,POL,AT Online,0,D,Sem pgto,242,97,0,Confirmada,05/07/2015
0,2,03/07/2015,2015,7,3,0,2,2,0,0,HB,PRT,AT Offline,0,A,Sem pgto,3,"91,5",0,Confirmada,05/07/2015
0,15,03/07/2015,2015,7,3,0,2,2,0,0,BB,ESP,AT Online,0,A,Sem pgto,240,"114,5",0,Confirmada,05/07/2015
0,116,03/07/2015,2015,7,3,0,2,3,0,0,HB,PRT,AT Online,0,G,Sem pgto,240,201,1,Confirmada,05/07/2015
0,3,03/07/2015,2015,7,3,1,2,2,0,0,BB,ESP,AT Online,0,A,Sem pgto,240,"90,9",0,Confirmada,06/07/2015
0,2,03/07/2015,2015,7,3,2,2,1,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,122,0,Confirmada,07/07/2015
0,72,03/07/2015,2015,7,3,2,2,2,0,0,BB,DEU,AT Offline,0,A,Sem pgto,105,"110,7",0,Confirmada,07/07/2015
0,32,03/07/2015,2015,7,3,2,4,2,0,0,BB,PRT,Direta,0,F,Sem pgto,NULL,129,0,Confirmada,09/07/2015
0,63,03/07/2015,2015,7,3,2,5,3,0,0,HB,ESP,AT Offline,0,E,Sem pgto,105,"196,54",1,Confirmada,10/07/2015
0,101,03/07/2015,2015,7,3,2,5,2,1,0,BB,PRT,AT Online,0,D,Sem pgto,240,"99,3",2,Confirmada,10/07/2015
0,102,03/07/2015,2015,7,3,2,5,2,0,0,BB,DEU,Direta,0,E,Sem pgto,250,"90,95",0,Confirmada,10/07/2015
0,121,03/07/2015,2015,7,3,2,5,2,0,0,BB,BRA,AT Offline,0,A,Sem pgto,115,"58,95",1,Confirmada,10/07/2015
0,121,03/07/2015,2015,7,3,2,5,2,0,0,BB,ITA,AT Offline,0,A,Sem pgto,115,"88,95",1,Confirmada,10/07/2015
0,81,03/07/2015,2015,7,3,2,6,3,0,0,BB,PRT,AT Offline,0,D,Sem pgto,5,"85,86",0,Confirmada,11/07/2015
0,99,03/07/2015,2015,7,3,2,7,2,0,0,BB,FRA,AT Offline,0,A,Sem pgto,40,"58,95",0,Confirmada,12/07/2015
0,364,03/07/2015,2015,7,3,3,7,2,0,0,BB,GBR,AT Offline,0,A,Sem pgto,40,"55,68",0,Confirmada,13/07/2015
0,99,03/07/2015,2015,7,3,3,7,2,0,0,HB,GBR,AT Offline,0,E,Sem pgto,115,"111,15",0,Confirmada,13/07/2015
0,324,03/07/2015,2015,7,3,4,10,2,0,0,HB,GBR,AT Offline,0,E,Sem pgto,40,"134,73",0,Confirmada,17/07/2015
0,69,03/07/2015,2015,7,3,4,10,2,0,0,BB,GBR,AT Online,0,F,Sem pgto,241,"92,45",1,Confirmada,17/07/2015
1,129,04/07/2015,2015,7,4,4,6,2,0,0,BB,PRT,AT Online,0,D,Sem pgto,240,141,1,Cancelada,03/03/2015
1,141,04/07/2015,2015,7,4,2,5,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,123,1,Cancelada,09/03/2015
1,131,04/07/2015,2015,7,4,2,5,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,123,1,Cancelada,17/03/2015
1,102,04/07/2015,2015,7,4,2,5,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"110,7",1,Cancelada,22/04/2015
1,101,04/07/2015,2015,7,4,2,6,2,0,0,BB,PRT,AT Online,0,E,Sem pgto,240,"96,3",1,Cancelada,12/05/2015
1,73,04/07/2015,2015,7,4,0,1,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"73,8",2,Cancelada,13/05/2015
1,182,04/07/2015,2015,7,4,2,6,1,0,0,HB,PRT,AT Online,0,A,Sem pgto,240,88,1,Cancelada,14/05/2015
1,183,04/07/2015,2015,7,4,4,10,2,1,0,BB,PRT,Direta,0,G,Sem pgto,NULL,130,1,Cancelada,19/05/2015
1,73,04/07/2015,2015,7,4,2,5,3,0,0,HB,PRT,Direta,0,D,Sem pgto,250,172,1,Cancelada,20/05/2015
1,51,04/07/2015,2015,7,4,0,1,1,0,0,HB,PRT,AT Online,0,A,Sem pgto,240,105,0,Cancelada,29/05/2015
1,182,04/07/2015,2015,7,4,2,6,2,0,0,HB,PRT,AT Online,0,A,Sem pgto,240,112,1,Cancelada,29/05/2015
1,26,04/07/2015,2015,7,4,2,5,2,2,0,BB,PRT,AT Online,0,H,Sem pgto,240,163,0,Cancelada,09/06/2015
1,33,04/07/2015,2015,7,4,0,1,2,0,0,BB,PRT,AT Online,0,D,Sem pgto,240,113,0,Cancelada,16/06/2015
1,36,04/07/2015,2015,7,4,0,1,1,0,0,BB,PRT,Direta,0,E,Sem pgto,250,123,0,Ausente,04/07/2015
0,2,04/07/2015,2015,7,4,0,1,2,2,0,BB,PRT,AT Online,0,H,Sem pgto,240,163,0,Confirmada,05/07/2015
0,30,04/07/2015,2015,7,4,0,1,2,0,0,BB,PRT,AT Offline,0,D,Sem pgto,8,"79,5",0,Confirmada,05/07/2015
0,8,04/07/2015,2015,7,4,0,1,2,0,0,BB,ESP,AT Online,0,E,Sem pgto,240,123,0,Confirmada,05/07/2015
0,0,04/07/2015,2015,7,4,0,1,2,0,0,BB,PRT,Direta,0,D,Sem pgto,NULL,"131,4",0,Confirmada,05/07/2015
0,183,04/07/2015,2015,7,4,0,1,2,0,0,BB,PRT,AT Offline,0,A,Sem pgto,142,"55,68",0,Confirmada,05/07/2015
0,100,04/07/2015,2015,7,4,1,1,2,0,0,BB,FRA,AT Online,0,A,Sem pgto,240,"73,8",1,Confirmada,06/07/2015
0,1,04/07/2015,2015,7,4,1,1,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"114,5",0,Confirmada,06/07/2015
0,100,04/07/2015,2015,7,4,1,1,2,0,0,BB,FRA,AT Online,0,A,Sem pgto,240,"73,8",2,Confirmada,06/07/2015
0,100,04/07/2015,2015,7,4,1,1,2,0,0,BB,FRA,AT Online,0,A,Sem pgto,240,"73,8",1,Confirmada,06/07/2015
0,135,04/07/2015,2015,7,4,1,1,2,0,0,BB,PRT,Direta,0,E,Sem pgto,250,154,0,Confirmada,06/07/2015
0,4,04/07/2015,2015,7,4,2,1,2,0,0,BB,ESP,Direta,0,A,Sem pgto,250,"92,67",1,Confirmada,07/07/2015
0,98,04/07/2015,2015,7,4,2,1,2,0,0,BB,FRA,AT Offline,0,D,Sem pgto,8,"71,55",0,Confirmada,07/07/2015
0,145,04/07/2015,2015,7,4,2,3,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,123,1,Confirmada,09/07/2015
0,92,04/07/2015,2015,7,4,2,4,1,2,0,BB,FRA,AT Offline,0,F,Sem pgto,241,"96,49",2,Confirmada,10/07/2015
0,95,04/07/2015,2015,7,4,2,4,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"85,8",2,Confirmada,10/07/2015
0,183,04/07/2015,2015,7,4,2,4,2,0,0,BB,PRT,AT Offline,0,A,Sem pgto,142,"55,68",0,Confirmada,10/07/2015
0,102,04/07/2015,2015,7,4,2,5,2,0,0,BB,PRT,AT Online,0,E,Sem pgto,240,"96,3",1,Confirmada,11/07/2015
0,115,04/07/2015,2015,7,4,2,5,2,0,0,BB,PRT,AT Offline,0,A,Sem pgto,134,"58,95",1,Confirmada,11/07/2015
0,102,04/07/2015,2015,7,4,2,5,2,0,1,BB,PRT,AT Online,0,A,Sem pgto,240,"73,8",2,Confirmada,11/07/2015
0,86,04/07/2015,2015,7,4,2,5,2,0,0,BB,CHE,AT Online,0,D,Sem pgto,240,97,2,Confirmada,11/07/2015
0,78,04/07/2015,2015,7,4,2,5,2,0,1,HB,PRT,AT Online,0,E,Sem pgto,240,139,2,Confirmada,11/07/2015
0,52,04/07/2015,2015,7,4,2,5,2,0,0,BB,GBR,AT Online,0,A,Sem pgto,147,"67,24",0,Confirmada,11/07/2015
0,158,04/07/2015,2015,7,4,2,5,2,0,0,BB,GBR,AT Online,0,E,Sem pgto,240,154,0,Confirmada,11/07/2015
0,149,04/07/2015,2015,7,4,2,5,2,0,0,HB,PRT,AT Online,0,A,Sem pgto,240,112,1,Confirmada,11/07/2015
0,127,04/07/2015,2015,7,4,2,5,2,0,0,HB,PRT,Direta,0,A,Sem pgto,NULL,"96,9",0,Confirmada,11/07/2015
0,29,04/07/2015,2015,7,4,2,6,3,0,0,BB,PRT,AT Online,0,E,Sem pgto,241,"116,5",1,Confirmada,12/07/2015
0,109,04/07/2015,2015,7,4,2,6,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,123,1,Confirmada,12/07/2015
0,58,04/07/2015,2015,7,4,2,6,2,0,0,HB,PRT,Direta,0,D,Sem pgto,NULL,"112,5",4,Confirmada,12/07/2015
0,130,04/07/2015,2015,7,4,2,6,2,0,0,HB,PRT,AT Offline,0,D,Sem pgto,196,"96,95",1,Confirmada,12/07/2015
0,130,04/07/2015,2015,7,4,2,6,1,0,0,HB,PRT,AT Offline,0,A,Sem pgto,196,"64,9",1,Confirmada,12/07/2015
0,92,04/07/2015,2015,7,4,4,6,2,0,0,BB,GBR,AT Offline,0,D,Sem pgto,40,"71,55",1,Confirmada,14/07/2015
0,92,04/07/2015,2015,7,4,4,6,2,0,0,BB,PRT,AT Offline,0,D,Sem pgto,40,"71,55",1,Confirmada,14/07/2015
0,79,04/07/2015,2015,7,4,4,6,2,1,0,HB,PRT,Direta,0,D,Sem pgto,250,149,1,Confirmada,14/07/2015
0,157,04/07/2015,2015,7,4,4,6,2,0,0,BB,IRL,AT Offline,0,A,Sem pgto,156,"55,68",0,Confirmada,14/07/2015
0,184,04/07/2015,2015,7,4,4,11,2,0,0,BB,IRL,AT Offline,0,A,Sem pgto,156,"90,95",0,Confirmada,19/07/2015
1,135,05/07/2015,2015,7,5,2,5,2,0,0,HB,PRT,AT Offline,0,A,Sem pgto,149,"82,35",0,Cancelada,25/02/2015
1,128,05/07/2015,2015,7,5,2,5,2,0,0,BB,PRT,AT Offline,0,A,Sem pgto,149,"58,95",0,Cancelada,04/03/2015
1,101,05/07/2015,2015,7,5,2,5,2,0,0,HB,PRT,AT Online,0,A,Sem pgto,240,114,1,Cancelada,30/03/2015
1,93,05/07/2015,2015,7,5,2,5,2,0,0,BB,PRT,AT Offline,1,A,Sem pgto,243,"55,68",0,Cancelada,03/04/2015
1,93,05/07/2015,2015,7,5,2,5,2,0,0,HB,PRT,AT Offline,0,D,Sem pgto,15,"105,5",0,Cancelada,01/05/2015
1,34,05/07/2015,2015,7,5,2,4,2,2,0,BB,PRT,AT Online,0,H,Sem pgto,240,163,0,Cancelada,17/06/2015
1,5,05/07/2015,2015,7,5,1,0,2,0,0,BB,PRT,AT Online,0,D,Sem pgto,240,97,0,Cancelada,01/07/2015
1,5,05/07/2015,2015,7,5,1,0,2,0,0,BB,PRT,AT Online,0,D,Sem pgto,240,97,0,Cancelada,01/07/2015
0,9,05/07/2015,2015,7,5,1,0,2,0,0,BB,ESP,AT Online,0,A,Sem pgto,240,"88,2",1,Confirmada,06/07/2015
0,0,05/07/2015,2015,7,5,1,0,2,0,0,BB,ESP,AT Online,0,A,Sem pgto,306,"85,1",0,Confirmada,06/07/2015
0,9,05/07/2015,2015,7,5,1,0,1,0,0,BB,DEU,AT Online,0,A,Sem pgto,184,89,0,Confirmada,06/07/2015
0,2,05/07/2015,2015,7,5,1,0,1,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,"80,1",0,Confirmada,06/07/2015
0,2,05/07/2015,2015,7,5,1,0,2,0,0,BB,PRT,AT Online,0,A,Sem pgto,240,98,0,Confirmada,06/07/2015
